A1	A2	A3	B1	B2	B3
otu_1608	8	8	2	4	2	10
otu_1609	9	3	8	3	6	10
otu_1610	6	1	2	5	5	10
otu_1611	6	2	5	8	3	2
otu_1612	2	3	3	1	2	1
otu_1613	9	7	5	10	9	9
otu_1614	8	3	7	7	1	7
otu_1615	3	3	6	5	1	3
otu_1616	10	7	3	9	7	9
otu_1617	3	10	9	9	9	3
otu_1618	9	4	8	9	1	3
otu_1619	6	8	3	3	9	9
otu_1620	7	1	9	2	2	6
otu_1621	10	2	1	1	8	7
otu_1622	7	4	3	9	8	8
otu_1623	5	10	7	5	3	9
otu_1624	9	2	8	4	1	1
otu_1625	5	3	9	2	10	4
otu_1626	4	6	10	1	2	8
otu_1627	10	6	3	9	9	3
otu_1628	7	2	4	9	9	2
otu_1629	3	9	2	1	9	6
otu_1630	3	5	10	7	10	2
otu_1631	3	2	1	5	10	7
otu_1632	7	5	6	10	2	6
otu_1633	5	2	10	9	3	5
otu_1634	6	3	4	5	8	1
otu_1635	2	5	2	9	7	4
otu_1636	4	4	9	5	10	4
otu_1637	6	1	7	5	1	3
otu_1638	6	6	9	4	9	2
otu_1639	10	3	10	7	5	9
otu_1640	5	1	10	4	5	4
otu_1641	4	1	6	7	5	4
otu_1642	3	6	1	6	9	10
otu_1643	7	3	9	2	3	4
otu_1644	6	10	2	5	6	7
otu_1645	2	9	5	3	10	5
otu_1646	9	2	5	9	5	3
otu_1647	7	7	5	6	6	1
otu_1648	8	2	5	7	3	10
otu_1649	8	10	8	2	7	5
otu_1650	6	10	7	10	3	7
otu_1651	5	8	5	8	4	6
otu_1652	9	2	4	10	9	2
otu_1653	9	5	1	2	6	1
otu_1654	5	5	5	9	10	6
otu_1655	10	9	8	10	6	1
otu_1656	1	3	4	2	2	9
otu_1657	10	10	6	6	1	8
otu_1658	2	5	10	2	7	10
otu_1659	3	1	3	8	9	8
otu_1660	7	5	2	3	7	2
otu_1661	6	10	7	3	10	1
otu_1662	6	5	4	2	8	3
otu_1663	2	5	10	9	3	5
otu_1664	1	8	1	10	7	4
otu_1665	3	2	6	1	8	6
otu_1666	9	10	6	9	7	6
otu_1667	2	6	4	3	9	5
otu_1668	10	8	10	8	1	3
otu_1669	8	7	3	8	1	6
otu_1670	8	9	1	8	9	9
otu_1671	9	5	7	4	2	8
otu_1672	4	8	10	2	4	9
otu_1673	4	10	6	2	4	10
otu_1674	1	1	4	9	3	8
otu_1675	2	2	4	8	9	4
otu_1676	7	10	5	10	2	10
otu_1677	8	1	3	1	3	10
otu_1678	9	3	3	7	4	4
otu_1679	5	3	8	3	2	4
otu_1680	5	3	4	1	5	8
otu_1681	6	10	9	10	3	4
otu_1682	10	6	1	9	7	6
otu_1683	1	2	4	8	9	5
otu_1684	10	10	10	1	5	2
otu_1685	5	8	2	2	9	10
otu_1686	6	9	3	2	8	2
otu_1687	5	2	10	7	4	2
otu_1688	1	3	6	3	7	4
otu_1689	10	7	7	2	8	10
otu_1690	5	8	4	7	5	9
otu_1691	8	5	7	8	2	5
otu_1692	8	5	3	4	4	3
otu_1693	1	9	7	3	1	3
otu_1694	7	8	10	5	2	6
otu_1695	3	4	2	7	4	10
otu_1696	10	6	1	3	4	5
otu_1697	4	7	3	9	3	5
otu_1698	7	8	9	2	1	9
otu_1699	7	10	3	9	7	4
otu_1700	7	3	3	5	10	7
otu_1701	6	6	9	10	1	1
otu_1702	9	9	10	2	1	3
otu_1703	4	3	4	6	6	4
otu_1704	9	2	8	4	9	7
otu_1705	3	6	4	9	8	3
otu_1706	3	1	1	9	8	6
otu_1707	8	2	3	7	3	7
otu_1708	9	1	7	6	1	5
otu_1709	1	3	7	7	2	8
otu_1710	4	7	6	8	6	6
otu_1711	10	2	1	6	2	7
otu_1712	1	2	7	6	7	8
otu_1713	10	2	3	6	5	9
otu_1714	5	8	8	3	9	6
otu_1715	9	9	6	8	4	6
otu_1716	5	9	2	4	9	7
otu_1717	8	5	9	5	2	5
otu_1718	4	6	1	3	8	1
otu_1719	2	4	5	9	2	5
otu_1720	1	3	10	7	5	9
otu_1721	3	10	5	6	7	10
otu_1722	7	3	10	10	2	3
otu_1723	8	8	5	8	2	2
otu_1724	5	3	2	8	3	10
otu_1725	2	7	6	6	8	5
otu_1726	9	9	10	1	8	6
otu_1727	10	3	6	4	5	8
otu_1728	5	4	10	1	4	6
otu_1729	6	3	4	5	5	8
otu_1730	10	7	8	10	9	6
otu_1731	6	7	3	10	6	1
otu_1732	7	7	4	10	7	5
otu_1733	4	7	1	7	9	7
otu_1734	6	6	7	4	5	6
otu_1735	6	8	5	7	6	3
otu_1736	9	5	5	5	6	10
otu_1737	3	4	6	9	7	6
otu_1738	5	4	7	9	10	6
otu_1739	10	9	8	8	8	4
otu_1740	5	2	2	10	3	2
otu_1741	9	2	10	10	10	8
otu_1742	6	7	7	5	5	7
otu_1743	1	3	1	6	9	4
otu_1744	3	1	10	3	9	1
otu_1745	8	9	4	1	9	5
otu_1746	2	4	7	6	3	8
otu_1747	3	9	8	1	6	2
otu_1748	10	1	6	10	6	2
otu_1749	1	2	3	1	9	3
otu_1750	7	1	7	5	9	5
otu_1751	3	9	2	10	1	8
otu_1752	5	3	7	4	7	10
otu_1753	8	3	10	6	3	3
otu_1754	9	7	9	2	3	7
otu_1755	1	8	10	3	10	5
otu_1756	1	4	10	7	6	6
otu_1757	1	2	10	5	8	10
otu_1758	5	6	3	10	5	8
otu_1759	8	1	1	7	4	1
otu_1760	5	6	3	3	9	9
otu_1761	4	3	9	10	5	8
otu_1762	4	3	8	7	9	3
otu_1763	5	9	10	3	10	3
otu_1764	8	5	9	10	4	9
otu_1765	9	4	7	7	1	10
otu_1766	2	3	10	2	3	1
otu_1767	8	5	1	2	2	10
otu_1768	3	3	1	1	9	4
otu_1769	3	7	1	1	5	1
otu_1770	5	3	7	10	1	1
otu_1771	8	3	4	10	8	1
otu_1772	5	1	9	3	7	4
otu_1773	7	4	7	4	10	1
otu_1774	10	6	2	7	2	1
otu_1775	9	5	1	2	7	7
otu_1776	8	10	5	3	7	9
otu_1777	10	7	6	1	8	6
otu_1778	6	2	8	10	7	10
otu_1779	6	8	1	6	3	5
otu_1780	4	10	5	7	4	4
otu_1781	9	1	8	3	8	8
otu_1782	9	10	7	9	8	3
otu_1783	5	5	10	8	8	2
otu_1784	1	9	5	1	1	7
otu_1785	9	2	8	8	1	3
otu_1786	10	9	2	8	3	3
otu_1787	8	8	5	10	7	2
otu_1788	5	10	1	7	5	8
otu_1789	9	10	6	3	3	5
otu_1790	7	4	4	5	6	9
otu_1791	10	6	3	4	9	6
otu_1792	9	7	7	3	9	10
otu_1793	5	8	8	7	3	6
otu_1794	10	9	5	4	6	3
otu_1795	8	9	8	9	2	8
otu_1796	7	7	1	7	8	6
otu_1797	3	2	5	5	10	3
otu_1798	9	6	8	10	6	8
otu_1799	9	1	7	3	8	6
otu_1800	5	5	5	3	3	3
otu_1801	2	8	7	1	8	3
otu_1802	4	8	8	10	5	7
otu_1803	4	4	10	1	1	5
otu_1804	8	1	3	8	10	7
otu_1805	8	9	8	5	5	7
otu_1806	1	1	2	7	2	9
otu_1807	5	2	4	1	6	8
otu_1808	2	2	7	9	10	8
otu_1809	9	4	8	9	2	5
otu_1810	1	10	4	3	4	3
otu_1811	10	1	1	4	10	7
otu_1812	1	5	3	7	9	3
otu_1813	5	8	9	1	3	10
otu_1814	7	8	5	2	4	1
otu_1815	6	2	3	5	7	9
otu_1816	1	7	7	6	1	10
otu_1817	6	7	5	10	5	7
otu_1818	4	1	7	2	3	8
otu_1819	10	1	5	5	1	1
otu_1820	7	4	8	10	2	6
otu_1821	2	1	3	1	5	5
otu_1822	7	5	4	6	7	10
otu_1823	2	2	5	2	5	9
otu_1824	9	3	8	7	10	4
otu_1825	1	4	7	1	8	3
otu_1826	8	1	5	8	6	4
otu_1827	2	1	6	1	8	8
otu_1828	8	4	8	5	8	9
otu_1829	8	6	4	9	5	8
otu_1830	7	4	4	7	8	8
otu_1831	4	6	4	7	6	10
otu_1832	2	9	10	5	8	10
otu_1833	8	4	9	2	7	8
otu_1834	9	4	10	2	6	7
otu_1835	6	6	1	3	10	7
otu_1836	10	10	10	1	3	2
otu_1837	5	2	9	10	10	9
otu_1838	8	8	10	8	6	1
otu_1839	4	1	4	5	1	10
otu_1840	9	10	8	2	1	5
otu_1841	3	8	7	8	9	5
otu_1842	2	5	2	5	4	9
otu_1843	3	4	2	7	5	6
otu_1844	1	8	7	9	8	8
otu_1845	8	10	8	7	6	5
otu_1846	10	2	10	10	7	9
otu_1847	3	6	6	1	9	4
otu_1848	6	2	8	6	5	4
otu_1849	8	10	1	5	3	4
otu_1850	1	1	7	9	1	6
otu_1851	4	8	3	6	4	2
otu_1852	3	4	2	7	6	7
otu_1853	2	3	6	8	9	8
otu_1854	3	7	9	1	10	5
otu_1855	7	2	10	6	4	9
otu_1856	5	1	9	1	1	10
otu_1857	3	8	8	1	6	9
otu_1858	6	1	7	9	2	3
otu_1859	4	5	5	8	7	6
otu_1860	7	7	7	5	2	1
otu_1861	5	2	4	8	9	10
otu_1862	10	6	4	8	7	2
otu_1863	4	8	7	3	5	10
otu_1864	9	10	3	8	5	8
otu_1865	10	3	2	2	3	2
otu_1866	2	5	9	9	2	6
otu_1867	2	9	10	4	1	4
otu_1868	2	8	7	10	1	8
otu_1869	5	5	3	5	1	8
otu_1870	5	6	8	10	9	10
otu_1871	5	7	8	8	1	4
otu_1872	4	1	6	7	10	1
otu_1873	10	1	7	10	2	5
otu_1874	7	10	8	9	2	3
otu_1875	3	9	2	7	4	8
otu_1876	8	8	1	9	1	1
otu_1877	2	10	4	5	6	3
otu_1878	10	3	7	3	9	3
otu_1879	5	2	4	8	7	2
otu_1880	4	3	10	9	10	9
otu_1881	6	7	7	10	4	10
otu_1882	7	6	4	2	7	6
otu_1883	5	2	3	7	4	10
otu_1884	2	7	2	10	2	6
otu_1885	9	1	6	3	5	6
otu_1886	1	10	2	7	6	8
otu_1887	7	8	5	7	7	4
otu_1888	8	6	5	6	10	10
otu_1889	3	10	4	5	9	10
otu_1890	1	6	7	4	6	7
otu_1891	1	2	3	9	9	1
otu_1892	5	10	4	9	1	9
otu_1893	1	3	10	3	8	10
otu_1894	8	2	9	5	9	4
otu_1895	3	3	3	10	4	2
otu_1896	4	7	2	4	5	3
otu_1897	8	6	5	8	9	9
otu_1898	10	5	8	8	9	3
otu_1899	3	1	5	7	5	7
otu_1900	7	9	9	3	8	6
otu_1901	5	4	5	10	8	7
otu_1902	1	5	7	1	8	1
otu_1903	5	2	4	2	8	8
otu_1904	2	2	6	9	1	8
otu_1905	9	2	5	9	4	10
otu_1906	7	1	8	5	6	4
otu_1907	4	7	4	3	10	10
otu_1908	4	9	7	5	6	1
otu_1909	3	7	8	1	8	6
otu_1910	10	1	3	10	7	9
otu_1911	4	7	6	6	5	2
otu_1912	1	9	4	3	2	4
otu_1913	4	3	3	5	1	9
otu_1914	3	1	1	1	1	6
otu_1915	7	1	10	1	2	5
otu_1916	10	2	8	1	5	1
otu_1917	7	2	9	9	9	10
otu_1918	7	3	3	10	10	2
otu_1919	5	6	2	2	3	2
otu_1920	10	5	10	2	6	8
otu_1921	6	7	4	8	6	2
otu_1922	5	7	10	1	1	8
otu_1923	5	5	8	4	2	3
otu_1924	10	2	1	8	6	7
otu_1925	9	5	8	3	7	5
otu_1926	1	8	1	3	4	6
otu_1927	5	5	2	9	10	7
otu_1928	4	9	1	2	9	3
otu_1929	7	10	3	7	2	2
otu_1930	1	4	6	9	6	4
otu_1931	9	9	9	2	4	5
otu_1932	6	10	10	5	3	9
otu_1933	7	9	2	1	8	4
otu_1934	10	2	3	5	10	5
otu_1935	7	6	8	4	5	8
otu_1936	7	3	1	6	1	3
otu_1937	9	6	7	6	4	2
otu_1938	4	1	9	3	3	9
otu_1939	10	7	1	3	6	8
otu_1940	3	3	10	5	5	4
otu_1941	9	1	3	3	10	6
otu_1942	7	2	10	3	2	10
otu_1943	1	1	1	4	4	1
otu_1944	4	4	10	2	6	8
otu_1945	9	10	4	6	1	9
otu_1946	1	2	6	1	6	6
otu_1947	5	8	9	1	2	8
otu_1948	1	4	8	7	7	5
otu_1949	7	5	4	6	8	3
otu_1950	5	6	7	8	7	5
otu_1951	1	5	1	1	10	1
otu_1952	8	4	10	1	6	7
otu_1953	1	5	5	10	2	3
otu_1954	4	7	10	8	7	3
otu_1955	7	7	1	2	5	4
otu_1956	3	10	1	5	6	8
otu_1957	7	10	8	10	8	9
otu_1958	5	10	3	9	9	3
otu_1959	6	2	3	5	2	5
otu_1960	6	2	8	6	1	9
otu_1961	3	10	2	5	8	4
otu_1962	7	2	1	9	1	7
otu_1963	10	5	1	4	6	5
otu_1964	3	1	7	5	10	8
otu_1965	5	6	3	4	3	6
otu_1966	4	6	4	2	3	5
otu_1967	3	10	10	9	4	2
otu_1968	4	8	4	6	1	10
otu_1969	10	7	7	9	1	7
otu_1970	8	2	6	9	7	3
otu_1971	4	5	10	9	10	8
otu_1972	1	1	4	7	3	10
otu_1973	10	1	7	2	3	3
otu_1974	9	2	3	3	8	10
otu_1975	9	3	6	7	1	6
otu_1976	5	6	2	5	9	1
otu_1977	5	2	8	10	5	4
otu_1978	7	10	3	8	2	3
otu_1979	5	10	8	5	1	6
otu_1980	8	9	4	8	7	8
otu_1981	6	1	3	6	8	5
otu_1982	1	7	10	3	2	3
otu_1983	6	1	3	8	1	1
otu_1984	2	1	8	9	8	5
otu_1985	4	8	4	9	2	4
otu_1986	6	7	8	5	3	10
otu_1987	5	8	7	1	2	4
otu_1988	3	4	7	1	1	10
otu_1989	1	3	5	3	9	4
otu_1990	10	3	10	9	8	2
otu_1991	4	7	4	2	9	10
otu_1992	10	8	4	8	6	4
otu_1993	4	10	3	7	6	3
otu_1994	10	7	2	10	1	9
otu_1995	8	7	1	10	4	6
otu_1996	6	9	1	3	10	10
otu_1997	8	8	9	9	4	8
otu_1998	10	2	5	9	8	9
otu_1999	6	5	3	4	10	1
otu_2000	4	6	1	1	1	5
